Region,Store Name,#,Link
cn,Nanjing East,8,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image8_large_2x.jpg
cn,Nanjing IST,1,https://www.apple.com/cn/retail/nanjingist/images/hero_large_2x.jpg
cn,Nanjing Jinmao Place,1,https://www.apple.com/cn/retail/nanjingjinmaoplace/images/hero_large_2x.jpg
cn,Olympia 66 Dalian,1,https://www.apple.com/cn/retail/olympia66dalian/images/hero_large_2x.jpg
cn,Paradise Walk Chongqing,1,https://www.apple.com/cn/retail/paradisewalkchongqing/images/hero_large_2x.jpg
cn,Parc 66 Jinan,1,https://www.apple.com/cn/retail/parc66jinan/images/hero_large_2x.jpg
cn,Parc Central,1,https://www.apple.com/cn/retail/parccentral/images/hero_large_2x.jpg
cn,Parkland,1,https://www.apple.com/cn/retail/parkland/images/hero_large_2x.jpg
cn,Pudong,1,https://www.apple.com/cn/retail/pudong/images/hero_large_2x.jpg
cn,Pudong,2,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image2_large_2x.jpg
cn,Pudong,3,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image3_large_2x.jpg
cn,Pudong,4,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image4_large_2x.jpg
cn,Pudong,5,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image5_large_2x.jpg
cn,Pudong,6,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image6_large_2x.jpg
cn,Pudong,7,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image7_large_2x.jpg
cn,Pudong,8,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/pudong/images/pudong_gallery_image8_large_2x.jpg
cn,Qibao,1,https://www.apple.com/cn/retail/qibao/images/hero_large_2x.jpg
cn,Riverside 66 Tianjin,1,https://www.apple.com/cn/retail/riverside66tianjin/images/hero_large_2x.jpg
cn,Sanlitun,1,https://www.apple.com/cn/retail/sanlitun/images/hero_large_2x.jpg
cn,Sanlitun,2,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/sanlitun/images/sanlitun_gallery_image2_large_2x.jpg
cn,Sanlitun,3,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/sanlitun/images/sanlitun_gallery_image3_large_2x.jpg
cn,Sanlitun,4,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/sanlitun/images/sanlitun_gallery_image4_large_2x.jpg
cn,Sanlitun,5,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/sanlitun/images/sanlitun_gallery_image5_large_2x.jpg
cn,Sanlitun,6,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/sanlitun/images/sanlitun_gallery_image6_large_2x.jpg
cn,Shanghai iapm,1,https://www.apple.com/cn/retail/shanghaiiapm/images/hero_large_2x.jpg
cn,Suzhou,1,https://www.apple.com/cn/retail/suzhou/images/hero_large_2x.jpg
cn,Tahoe Plaza,1,https://www.apple.com/cn/retail/tahoeplaza/images/hero_large_2x.jpg
cn,Taikoo Li Chengdu,1,https://www.apple.com/cn/retail/taikoolichengdu/images/hero_large_2x.jpg
cn,Tianjin Joy City,1,https://www.apple.com/cn/retail/tianjinjoycity/images/hero_large_2x.jpg
cn,Tianyi Square,1,https://www.apple.com/cn/retail/tianyisquare/images/hero_large_2x.jpg
cn,Wangfujing,1,https://www.apple.com/cn/retail/wangfujing/images/hero_large_2x.jpg
cn,West Lake,1,https://www.apple.com/cn/retail/westlake/images/hero_large_2x.jpg
cn,West Lake,2,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image2_large_2x.jpg
cn,West Lake,3,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image3_large_2x.jpg
cn,West Lake,4,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image4_large_2x.jpg
cn,West Lake,5,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image5_large_2x.jpg
cn,West Lake,6,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image6_large_2x.jpg
cn,West Lake,7,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image7_large_2x.jpg
cn,West Lake,8,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/westlake/images/westlake_gallery_image8_large_2x.jpg
cn,Wonder City,1,https://www.apple.com/cn/retail/wondercity/images/hero_large_2x.jpg
cn,Wujiaochang,1,https://www.apple.com/cn/retail/wujiaochang/images/hero_large_2x.jpg
cn,Xiamen Lifestyle Center,1,https://www.apple.com/cn/retail/xiamenlifestylecenter/images/hero_large_2x.jpg
cn,Xidan Joy City,1,https://www.apple.com/cn/retail/xidanjoycity/images/hero_large_2x.jpg
cn,Zhongjie Joy City,1,https://www.apple.com/cn/retail/zhongjiejoycity/images/hero_large_2x.jpg
cn,Zhujiang New Town,1,https://www.apple.com/cn/retail/zhujiangnewtown/images/hero_large_2x.jpg
de,Alstertal,1,https://www.apple.com/de/retail/alstertal/images/hero_large_2x.jpg
de,Altmarkt-Galerie,1,https://www.apple.com/de/retail/altmarkt-galerie/images/hero_large_2x.jpg
de,CentrO,1,https://www.apple.com/de/retail/centro/images/hero_large_2x.jpg
de,City-Galerie,1,https://www.apple.com/de/retail/city-galerie/images/hero_large_2x.jpg
de,Düsseldorf,1,https://www.apple.com/de/retail/duesseldorf/images/hero_large_2x.jpg
de,Grosse Bockenheimer Strasse,1,https://www.apple.com/de/retail/grossebockenheimerstrasse/images/hero_large_2x.jpg
de,Hannover,1,https://www.apple.com/de/retail/hannover/images/hero_large_2x.jpg
de,Jungfernstieg,1,https://www.apple.com/de/retail/jungfernstieg/images/hero_large_2x.jpg
de,Jungfernstieg,2,
de,Jungfernstieg,3,
de,Jungfernstieg,4,
de,Jungfernstieg,5,
de,Jungfernstieg,6,
de,Jungfernstieg,7,
de,Jungfernstieg,8,
de,Jungfernstieg,9,
de,Jungfernstieg,10,
de,Kurfürstendamm,1,https://www.apple.com/de/retail/kurfuerstendamm/images/hero_large_2x.jpg
de,Kurfürstendamm,2,
de,Kurfürstendamm,3,
de,Kurfürstendamm,4,
de,Kurfürstendamm,5,
de,Kurfürstendamm,6,
de,Kurfürstendamm,7,
de,Kurfürstendamm,8,
de,Kurfürstendamm,9,
de,Kurfürstendamm,10,
de,MTZ,1,https://www.apple.com/de/retail/mtz/images/hero_large_2x.jpg
de,OEZ,1,https://www.apple.com/de/retail/oez/images/hero_large_2x.jpg
de,Rhein Center,1,https://www.apple.com/de/retail/rheincenter/images/hero_large_2x.jpg
de,Rosenstrasse,1,https://www.apple.com/de/retail/rosenstrasse/images/hero_large_2x.jpg
de,Rosenstrasse,2,
de,Rosenstrasse,3,
de,Rosenstrasse,4,
de,Rosenstrasse,5,
de,Schildergasse,1,https://www.apple.com/de/retail/schildergasse/images/hero_large_2x.jpg
de,Schildergasse,2,
de,Schildergasse,3,
de,Schildergasse,4,
de,Schildergasse,5,
de,Schildergasse,6,
de,Schildergasse,7,
de,Sindelfingen,1,https://www.apple.com/de/retail/sindelfingen/images/hero_large_2x.jpg
es,Calle Colón,1,https://www.apple.com/es/retail/callecolon/images/hero_large_2x.jpg
es,Gran Plaza 2,1,https://www.apple.com/es/retail/granplaza2/images/hero_large_2x.jpg
es,La Cañada,1,https://www.apple.com/es/retail/lacanada/images/hero_large_2x.jpg
es,La Maquinista,1,https://www.apple.com/es/retail/lamaquinista/images/hero_large_2x.jpg
es,Nueva Condomina,1,https://www.apple.com/es/retail/nuevacondomina/images/hero_large_2x.jpg
es,Parquesur,1,https://www.apple.com/es/retail/parquesur/images/hero_large_2x.jpg
es,Passeig de Gràcia,1,https://www.apple.com/es/retail/passeigdegracia/images/hero_large_2x.jpg
es,Passeig de Gràcia,2,
es,Passeig de Gràcia,3,
es,Passeig de Gràcia,4,
es,Passeig de Gràcia,5,
es,Passeig de Gràcia,6,
es,Puerta del Sol,1,https://www.apple.com/es/retail/puertadelsol/images/hero_large_2x.jpg
es,Puerta del Sol,2,
es,Puerta del Sol,3,
es,Puerta del Sol,4,
es,Puerta del Sol,5,
es,Puerto Venecia,1,https://www.apple.com/es/retail/puertovenecia/images/hero_large_2x.jpg
es,Río Shopping,1,https://www.apple.com/es/retail/rioshopping/images/hero_large_2x.jpg
es,Xanadú,1,https://www.apple.com/es/retail/xanadu/images/hero_large_2x.jpg
fr,Aix-en-Provence,1,https://www.apple.com/fr/retail/aix-en-provence/images/hero_large_2x.jpg
fr,Atlantis,1,https://www.apple.com/fr/retail/atlantis/images/hero_large_2x.jpg
fr,CAP 3000,1,https://www.apple.com/fr/retail/cap3000/images/hero_large_2x.jpg
fr,Carré Sénart,1,https://www.apple.com/fr/retail/carresenart/images/hero_large_2x.jpg
fr,Champs-Élysées,1,https://www.apple.com/fr/retail/champs-elysees/images/hero_large_2x.jpg
fr,Champs-Élysées,2,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-tile-1_large_2x.jpg
fr,Champs-Élysées,3,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-1-item-1_large_2x.jpg
fr,Champs-Élysées,4,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-1-item-2_large_2x.jpg
fr,Champs-Élysées,5,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-1-item-3_large_2x.jpg
fr,Champs-Élysées,6,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-1-item-4_large_2x.jpg
fr,Champs-Élysées,7,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-1-item-5_large_2x.jpg
fr,Champs-Élysées,8,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-2-item-1_large_2x.jpg
fr,Champs-Élysées,9,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-2-item-2_large_2x.jpg
fr,Champs-Élysées,10,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-2-item-3_large_2x.jpg
fr,Champs-Élysées,11,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-2-item-4_large_2x.jpg
fr,Champs-Élysées,12,https://www.apple.com/fr/retail/store/includes/champs-elysees/drawer/images/store-drawer-gallery-2-item-5_large_2x.jpg
fr,Confluence,1,https://www.apple.com/fr/retail/confluence/images/hero_large_2x.jpg
fr,La Toison d’Or,1,https://www.apple.com/fr/retail/latoisondor/images/hero_large_2x.jpg
fr,Les Quatre Temps,1,https://www.apple.com/fr/retail/lesquatretemps/images/hero_large_2x.jpg
fr,Lille,1,https://www.apple.com/fr/retail/lille/images/hero_large_2x.jpg
fr,Marché Saint-Germain,1,https://www.apple.com/fr/retail/marchesaintgermain/images/hero_large_2x.jpg
fr,Marseille,1,https://www.apple.com/fr/retail/marseille/images/hero_large_2x.jpg
fr,Odysseum,1,https://www.apple.com/fr/retail/odysseum/images/hero_large_2x.jpg
fr,Opéra,1,https://www.apple.com/fr/retail/opera/images/hero_large_2x.jpg
fr,Opéra,2,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image2_large_2x.jpg
fr,Opéra,3,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image3_large_2x.jpg
fr,Opéra,4,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image4_large_2x.jpg
fr,Opéra,5,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image5_large_2x.jpg
fr,Opéra,6,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image6_large_2x.jpg
fr,Opéra,7,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image7_large_2x.jpg
fr,Opéra,8,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image8_large_2x.jpg
fr,Opéra,9,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image9_large_2x.jpg
fr,Opéra,10,https://www.apple.com/fr/retail/store/galleries/opera/images/opera_gallery_image10_large_2x.jpg
fr,Parly 2,1,https://www.apple.com/fr/retail/parly2/images/hero_large_2x.jpg
fr,Part-Dieu,1,https://www.apple.com/fr/retail/part-dieu/images/hero_large_2x.jpg
fr,Rosny 2,1,https://www.apple.com/fr/retail/rosny2/images/hero_large_2x.jpg
fr,Sainte-Catherine,1,https://www.apple.com/fr/retail/sainte-catherine/images/hero_large_2x.jpg
fr,Strasbourg,1,https://www.apple.com/fr/retail/strasbourg/images/hero_large_2x.jpg
fr,Val d’Europe,1,https://www.apple.com/fr/retail/valdeurope/images/hero_large_2x.jpg
fr,Vélizy 2,1,https://www.apple.com/fr/retail/velizy2/images/hero_large_2x.jpg
hk,Canton Road,1,https://www.apple.com/hk/en/retail/cantonroad/images/hero_large_2x.jpg
hk,Causeway Bay,1,https://www.apple.com/hk/en/retail/causewaybay/images/hero_large_2x.jpg
hk,Festival Walk,1,https://www.apple.com/hk/en/retail/festivalwalk/images/hero_large_2x.jpg
hk,New Town Plaza,1,https://www.apple.com/hk/en/retail/newtownplaza/images/hero_large_2x.jpg
hk,apm Hong Kong,1,https://www.apple.com/hk/en/retail/apmhongkong/images/hero_large_2x.jpg
hk,ifc mall,1,https://www.apple.com/hk/en/retail/ifcmall/images/hero_large_2x.jpg
hk,ifc mall,2,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image2_large_2x.jpg
hk,ifc mall,3,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image3_large_2x.jpg
hk,ifc mall,4,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image4_large_2x.jpg
hk,ifc mall,5,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image5_large_2x.jpg
hk,ifc mall,6,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image6_large_2x.jpg
hk,ifc mall,7,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image7_large_2x.jpg
hk,ifc mall,8,https://www.apple.com/hk/en/retail/store/images/galleries/ifcmall/images/ifcmall_gallery_image8_large_2x.jpg
it,Campania,1,https://www.apple.com/it/retail/campania/images/hero_large_2x.jpg
it,Carosello,1,https://www.apple.com/it/retail/carosello/images/hero_large_2x.jpg
it,Centro Sicilia,1,https://www.apple.com/it/retail/centrosicilia/images/hero_large_2x.jpg
it,Euroma2,1,https://www.apple.com/it/retail/euroma2/images/hero_large_2x.jpg
